p1_hp,p2_hp,distancia,p1_last1_atk,p1_last1_def,p1_last1_grb,p1_last2_atk,p1_last2_def,p1_last2_grb,p2_last1_action,y_target
0.405813128,0.524686754,0.638144553,0,1,0,1,0,0,1.0,2
0.953178585,0.759409428,0.459292442,0,1,0,0,1,0,0.5,2
0.74539423,0.584533453,0.96449852,0,0,1,0,0,1,0.0,1
0.618725538,0.129137456,0.21897845,0,1,0,0,1,0,1.0,1
0.198217705,0.226301223,0.587856412,1,0,0,0,1,0,1.0,2
0.198194787,0.258361787,0.700210035,0,1,0,1,0,0,1.0,2
0.105179429,0.294971049,0.825564504,0,1,0,1,0,0,0.0,2
0.872867346,0.587133229,0.406971037,1,0,0,0,1,0,0.0,0
0.621059239,0.528767467,0.686921895,1,0,0,0,0,1,0.5,0
0.722668946,0.243002042,0.303201467,1,0,0,1,0,0,1.0,1
0.0695552677,0.1141771,0.435476094,1,0,0,0,1,0,0.5,2
0.971414387,0.212860599,0.895627141,1,0,0,0,0,1,0.0,1
0.840820491,0.985162258,0.949907601,1,0,0,0,0,1,0.0,0
0.251722157,0.495119601,0.718817353,0,0,1,0,1,0,0.5,1
0.222733721,0.873978257,0.374351889,0,1,0,0,1,0,0.0,2
0.224234283,0.856314838,0.820057809,0,0,1,0,0,1,1.0,2
0.339030117,0.535943568,0.0258670822,0,0,1,0,0,1,0.0,2
0.548518598,0.721353352,0.102745913,1,0,0,0,1,0,0.0,1
0.460347772,0.233114406,0.661373734,0,1,0,0,1,0,0.5,1
0.326667696,0.70397687,0.29124859,0,0,1,0,0,1,0.0,0
0.631260276,0.308765352,0.951386213,0,1,0,1,0,0,0.0,1
0.182519168,0.840458989,0.436060607,0,1,0,0,0,1,0.5,2
0.327537417,0.129537925,0.42936483,1,0,0,0,0,1,1.0,1
0.398043752,0.784481764,0.678079486,0,1,0,0,0,1,0.5,1
0.483266473,0.144940063,0.767568588,0,0,1,0,0,1,1.0,2
0.795917153,0.887129784,0.475558728,0,0,1,1,0,0,1.0,2
0.239690095,0.338994294,0.214000896,1,0,0,0,1,0,0.5,2
0.53852272,0.671673715,0.773308635,0,0,1,0,0,1,0.5,1
0.612793863,0.513127148,0.320351273,1,0,0,0,1,0,0.5,1
0.0941278934,0.397987992,0.175110772,0,0,1,0,1,0,0.0,2
0.627167583,0.663169742,0.631640196,0,0,1,0,1,0,1.0,1
0.211997911,0.950146854,0.0904536694,1,0,0,0,0,1,1.0,2
0.111799017,0.0892062634,0.971352696,0,1,0,0,0,1,1.0,1
0.951441288,0.922910213,0.632397294,1,0,0,0,0,1,0.5,0
0.967350423,0.628627598,0.985895514,0,1,0,1,0,0,1.0,1
0.817977488,0.816948593,0.338893414,0,1,0,0,1,0,1.0,0
0.339383096,0.414681196,0.971205175,1,0,0,1,0,0,1.0,1
0.142788514,0.498250812,0.145562246,1,0,0,1,0,0,1.0,2
0.700021386,0.875408232,0.0406947732,1,0,0,0,0,1,0.5,0
0.468144864,0.444105566,0.0329840593,0,1,0,0,1,0,0.0,1
0.165936321,0.557926595,0.464870363,0,1,0,0,1,0,0.0,1
0.520418048,0.069185175,0.083004199,0,1,0,0,0,1,0.5,0
0.0826690942,0.200668111,0.512167871,0,1,0,0,0,1,0.0,0
0.913854361,0.659602165,0.327500492,1,0,0,1,0,0,1.0,1
0.295840979,0.731128037,0.335628986,1,0,0,0,0,1,0.0,0
0.679396152,0.603470862,0.635608971,0,1,0,1,0,0,0.0,2
0.346125513,0.186144531,0.163098007,0,0,1,0,1,0,1.0,2
0.544064641,0.473135144,0.766553342,1,0,0,1,0,0,1.0,2
0.56937474,0.387340039,0.582030892,0,0,1,0,0,1,1.0,2
0.225611731,0.520878255,0.914944649,0,0,1,0,1,0,0.5,2
0.971105397,0.876812577,0.364840657,0,0,1,1,0,0,0.0,0
0.786376178,0.787068367,0.982715011,0,1,0,1,0,0,0.5,1
0.942524016,0.129790023,0.575827658,1,0,0,0,1,0,0.5,0
0.900085986,0.895793736,0.973401964,0,0,1,1,0,0,1.0,2
0.618004978,0.49817878,0.027060654,0,1,0,1,0,0,0.0,2
0.925780535,0.756669044,0.727976322,1,0,0,1,0,0,0.5,1
0.134067878,0.183037266,0.816621542,0,1,0,0,0,1,1.0,2
0.236183718,0.687183559,0.053173285,1,0,0,0,0,1,0.5,2
0.0929659232,0.274509728,0.578969657,1,0,0,0,0,1,0.0,2
0.359063804,0.466461867,0.801942289,0,1,0,1,0,0,1.0,1
0.419243425,0.0660197288,0.561038733,0,0,1,0,1,0,0.5,1
0.307781577,0.194030106,0.0638135895,1,0,0,1,0,0,0.0,1
0.837300658,0.137476474,0.693447232,1,0,0,1,0,0,0.0,1
0.388915658,0.277756959,0.0605969131,0,0,1,0,0,1,0.5,0
0.316887796,0.145017192,0.817468882,1,0,0,0,0,1,0.0,1
0.565561295,0.707314551,0.0430341847,0,0,1,1,0,0,1.0,1
0.183878019,0.07758791,0.137397379,1,0,0,0,0,1,1.0,1
0.812087119,0.636853456,0.275107592,0,0,1,1,0,0,1.0,0
0.120823115,0.183672443,0.633364797,1,0,0,0,0,1,1.0,1
0.98754257,0.947903395,0.976359129,1,0,0,1,0,0,0.5,1
0.783632517,0.936439395,0.117822856,1,0,0,1,0,0,0.5,1
0.238779902,0.264227957,0.142707676,0,0,1,0,1,0,0.0,2
0.0552460104,0.633700252,0.368870407,1,0,0,0,0,1,0.0,0
